type,financial_year,month,num_vehicles
E-2 Wheelers,2017-18,Apr,96
E-2 Wheelers,2017-18,May,91
E-2 Wheelers,2017-18,Jun,137
E-2 Wheelers,2017-18,Jul,116
E-2 Wheelers,2017-18,Aug,99
E-2 Wheelers,2017-18,Sep,109
E-2 Wheelers,2017-18,Oct,150
E-2 Wheelers,2017-18,Nov,214
E-2 Wheelers,2017-18,Dec,179
E-2 Wheelers,2017-18,Jan,173
E-2 Wheelers,2017-18,Feb,156
E-2 Wheelers,2017-18,Mar,461
E-2 Wheelers,2018-19,Apr,486
E-2 Wheelers,2018-19,May,681
E-2 Wheelers,2018-19,Jun,856
E-2 Wheelers,2018-19,Jul,1289
E-2 Wheelers,2018-19,Aug,1573
E-2 Wheelers,2018-19,Sep,2157
E-2 Wheelers,2018-19,Oct,2457
E-2 Wheelers,2018-19,Nov,3274
E-2 Wheelers,2018-19,Dec,3168
E-2 Wheelers,2018-19,Jan,2545
E-2 Wheelers,2018-19,Feb,3126
E-2 Wheelers,2018-19,Mar,5866
E-2 Wheelers,2019-20,Apr,2979
E-2 Wheelers,2019-20,May,1640
E-2 Wheelers,2019-20,Jun,1734
E-2 Wheelers,2019-20,Jul,1554
E-2 Wheelers,2019-20,Aug,1486
E-2 Wheelers,2019-20,Sep,1545
E-2 Wheelers,2019-20,Oct,2119
E-2 Wheelers,2019-20,Nov,3122
E-2 Wheelers,2019-20,Dec,2220
E-2 Wheelers,2019-20,Jan,2925
E-2 Wheelers,2019-20,Feb,2336
E-2 Wheelers,2019-20,Mar,2852
E-2 Wheelers,2020-21,Apr,83
E-2 Wheelers,2020-21,May,558
E-2 Wheelers,2020-21,Jun,1495
E-2 Wheelers,2020-21,Jul,1477
E-2 Wheelers,2020-21,Aug,2096
E-2 Wheelers,2020-21,Sep,3035
E-2 Wheelers,2020-21,Oct,2898
E-2 Wheelers,2020-21,Nov,4150
E-2 Wheelers,2020-21,Dec,4911
E-2 Wheelers,2020-21,Jan,5264
E-2 Wheelers,2020-21,Feb,6523
E-2 Wheelers,2020-21,Mar,11804
E-2 Wheelers,2021-22,Apr,5631
E-2 Wheelers,2021-22,May,1214
E-2 Wheelers,2021-22,Jun,4602
E-2 Wheelers,2021-22,Jul,14518
E-2 Wheelers,2021-22,Aug,15916
E-2 Wheelers,2021-22,Sep,17874
E-2 Wheelers,2021-22,Oct,20584
E-2 Wheelers,2021-22,Nov,24258
E-2 Wheelers,2021-22,Dec,26443
E-2 Wheelers,2021-22,Jan,29748
E-2 Wheelers,2021-22,Feb,35192
E-2 Wheelers,2021-22,Mar,53635
E-2 Wheelers,2022-23,Apr,53260
E-2 Wheelers,2022-23,May,42403
E-2 Wheelers,2022-23,Jun,44368
E-2 Wheelers,2022-23,Jul,46600
E-2 Wheelers,2022-23,Aug,52179
E-2 Wheelers,2022-23,Sep,53230
E-2 Wheelers,2022-23,Oct,77094
E-2 Wheelers,2022-23,Nov,76684
E-2 Wheelers,2022-23,Dec,64579
E-2 Wheelers,2022-23,Jan,64651
E-2 Wheelers,2022-23,Feb,66061
E-2 Wheelers,2022-23,Mar,86981
